"slug","name","nameRw","category","brand","price_RWF","stock","sku","shortDescription","primaryImage"
"dear-body-autumn-cicada-fine-fragrance-mist","Dear Body Autumn Cicada Fine Fragrance Mist","","fragrance","","0","0","FCS-81C0BD","Dear Body Autumn Cicada Fine Fragrance Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785579026/freedomcosmeticshop/products/fz3bna7aebbaiklumwod.jpg"
"dear-body-be-myself-fine-fragrance-mist","Dear Body Be Myself Fine Fragrance Mist","","fragrance","","0","0","FCS-F3F3B3","Dear Body Be Myself Fine Fragrance Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785574931/freedomcosmeticshop/products/iwwnabehqimy9qae5qqf.jpg"
"dear-body-border-girl-fine-fragrance-mist","Dear Body Border Girl Fine Fragrance Mist","","fragrance","","0","0","FCS-DC00B0","Dear Body Border Girl Fine Fragrance Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785576115/freedomcosmeticshop/products/m0jlqidgvgvrqfkygr5o.jpg"
"dear-body-brilliant-sunflower-fine-fragrance-mist","Dear Body Brilliant Sunflower Fine Fragrance Mist","","fragrance","","0","0","FCS-4A9672","Dear Body Brilliant Sunflower Fine Fragrance Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785576780/freedomcosmeticshop/products/uqquhadpfokkzajiabfu.jpg"
"dear-body-noir-for-men-body-mist","Dear Body NOIR for men Body Mist","","fragrance","","0","0","FCS-4371B1","Dear Body NOIR for men Body Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785582939/freedomcosmeticshop/products/o8bx5bk69hhzh0b0snev.jpg"
"dear-body-noir-fragrance-mist","Dear Body Noir Fragrance Mist","","fragrance","","0","0","FCS-3F5612","Dear Body Noir Fragrance Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785590751/freedomcosmeticshop/products/h96itdqxu6fav85viklv.jpg"
"dear-body-scarlet-for-men-body-mist","Dear Body SCARLET for Men Body Mist","","fragrance","","0","0","FCS-03E07E","Dear Body SCARLET for Men Body Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785582361/freedomcosmeticshop/products/svfcuz6agnuqc3orkdx1.jpg"
"dear-body-sweet-vanilla-fine-fragrance-mist","Dear Body Sweet Vanilla Fine Fragrance Mist","","fragrance","","0","0","FCS-39B312","Dear Body Sweet Vanilla Fine Fragrance Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785581453/freedomcosmeticshop/products/ovfigvrreven6qehcoot.jpg"
"dettol-juniors-glycerine-soap","Dettol Juniors Glycerine Soap","","soap","","0","0","FCS-304E40","Dettol Juniors Glycerine Soap — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785323290/freedomcosmeticshop/products/xa805xjk9dderv0y6n3o.jpg"
"dettol-original-antibacterial-soap-100g","Dettol Original Antibacterial Soap 100g","","soap","","0","0","FCS-2A73AA","Dettol Original Antibacterial Soap 100g — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785318301/freedomcosmeticshop/products/uab3ykszkn9uu8u3tmub.jpg"
"dove-original-beauty-cream-bar-100g","Dove Original Beauty Cream Bar 100g","","soap","","0","0","FCS-0AB055","Dove Original Beauty Cream Bar 100g — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1784801868/freedomcosmeticshop/products/mi8iahdcfaewqx9ihzbq.jpg"
"drodaven-whitening-papaya-milk-body-lotion","DRODAVEN Whitening Papaya + Milk Body Lotion","","whitening","","0","0","FCS-D1146F","DRODAVEN Whitening Papaya + Milk Body Lotion — brightening care that helps even skin tone and leaves skin glowing.",""
"duru-fresh-sensations-beauty-soap-floral-infusion-pack-of-4","Duru Fresh Sensations Beauty Soap – Floral Infusion (Pack of 4)","","soap","","0","0","FCS-B65FC8","Duru Fresh Sensations Beauty Soap – Floral Infusion (Pack of 4) — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785406730/freedomcosmeticshop/products/np8ycn88wagvcb8phlbz.jpg"
"duru-fresh-sensations-beauty-soap-ocean-breeze-pack-of-4","Duru Fresh Sensations Beauty Soap – Ocean Breeze (Pack of 4)","","soap","","0","0","FCS-9AEDB0","Duru Fresh Sensations Beauty Soap – Ocean Breeze (Pack of 4) — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785403724/freedomcosmeticshop/products/elm4bunf7lvydbq4uz1x.jpg"
"duru-natural-olive-soap-with-olive-oil-extract","Duru Natural Olive Soap with Olive Oil Extract","","soap","","0","0","FCS-1139D6","Duru Natural Olive Soap with Olive Oil Extract — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785266659/freedomcosmeticshop/products/t8bccqgdc0wvxfb2gyqj.jpg"
"duru-perfume-beauties-beauty-soap-orchid-charm-pack-of-4","Duru Perfume Beauties Beauty Soap – Orchid Charm (Pack of 4)","","soap","","0","0","FCS-AAC8D1","Duru Perfume Beauties Beauty Soap – Orchid Charm (Pack of 4) — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785405550/freedomcosmeticshop/products/asspz0qq78bvj9sh2o4d.jpg"
"eva-bathing-soap-refresh-coconut-lavender","EVA Bathing Soap Refresh (Coconut & Lavender)","","soap","","0","0","FCS-21AAFA","EVA Bathing Soap Refresh (Coconut & Lavender) — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785342959/freedomcosmeticshop/products/mefwlzqxjozxc6lxwmtp.jpg"
"exfoliating-gold-face-body-scrub-with-natural-exfoliating-fruit-shells-gold-pearl","Exfoliating Gold Face & Body Scrub (With Natural Exfoliating Fruit Shells & Gold Pearl)","","skincare","","0","0","FCS-02BE2B","Exfoliating Gold Face & Body Scrub (With Natural Exfoliating Fruit Shells & Gold Pearl) — skincare for a clean, soft and cared-for complexion.","https://res.cloudinary.com/dohoc0tmp/image/fetch/f_auto,q_auto/https://img.kilimall.com/gallery/store/100002321/202606/e7b8a19e5bb041a09e4281974e7d5825.png"
"extract-whitening-herbal-soap-papaya-calaman","Extract Whitening Herbal Soap Papaya Calaman","","soap","","0","0","FCS-2641FD","Extract Whitening Herbal Soap Papaya Calaman — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785339369/freedomcosmeticshop/products/c1ypkwpamdkvo8iscs1i.jpg"
"geisha-caring-coconut-honey-soap","Geisha Caring Coconut & Honey Soap","","soap","","0","0","FCS-165BC6","Geisha Caring Coconut & Honey Soap — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785411414/freedomcosmeticshop/products/iror38wjidbjullcnq5i.jpg"
"geisha-soothing-aloe-vera-honey-soap-strong-long-lasting-daily-bathing-bar","Geisha Soothing Aloe Vera & Honey Soap (Strong & Long Lasting Daily Bathing Bar)","","soap","","0","0","FCS-A33C05","Geisha Soothing Aloe Vera & Honey Soap (Strong & Long Lasting Daily Bathing Bar) — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785419804/freedomcosmeticshop/products/rf8dkt3la8kjhn1ho4vr.jpg"
"imperial-leather-timeless-classic-bathing-bar-soap","Imperial Leather Timeless Classic Bathing Bar Soap","","soap","","0","0","FCS-30477D","Imperial Leather Timeless Classic Bathing Bar Soap — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785338412/freedomcosmeticshop/products/mjh8zobcsle2drbkwqui.jpg"
"intense-wood-fragrance-mist-brume-parfum-e","Intense Wood Fragrance Mist (Brume Parfumée)","","fragrance","","0","0","FCS-27EC6D","Intense Wood Fragrance Mist (Brume Parfumée) — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785596793/freedomcosmeticshop/products/l3u1dx0nvggviml2j4wf.jpg"
"johnson-s-baby-aqueous-cream-lightly-fragranced-350ml","Johnson's Baby Aqueous Cream Lightly Fragranced 350ml","","baby-kids","","0","0","FCS-F88C1B","Johnson's Baby Aqueous Cream Lightly Fragranced 350ml — gentle care for delicate baby and child skin.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785666379/freedomcosmeticshop/products/epooo6zcjrff5jkjpf3a.jpg"
"kojic-white-x2-double-whitening-suite-soap-by-nano-d-ne","KOJIC WHITE X2 Double Whitening Suite Soap (By Nano D-ne)","","soap","","0","0","FCS-BB3B66","KOJIC WHITE X2 Double Whitening Suite Soap (By Nano D-ne) — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785422179/freedomcosmeticshop/products/xarblgnd2rixtzj1rdhl.jpg"
"kojie-san-classic-skin-lightening-soap","Kojie San Classic Skin Lightening Soap","","soap","","0","0","FCS-4B508D","Kojie San Classic Skin Lightening Soap — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785251484/freedomcosmeticshop/products/jjedlroklxezidgfgwje.jpg"
"kristal-fragrance-mist-brume-parfum-e","Kristal Fragrance Mist (Brume Parfumée)","","fragrance","","0","0","FCS-136B40","Kristal Fragrance Mist (Brume Parfumée) — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785593849/freedomcosmeticshop/products/e3dyl4jqwcdl4a8ygjpl.jpg"
"la-tchadienne-whitening-lotion-super-white-face-body-lotion","LA TCHADIENNE Whitening Lotion Super White Face & Body Lotion","","whitening","","0","0","FCS-BDA17B","LA TCHADIENNE Whitening Lotion Super White Face & Body Lotion — brightening care that helps even skin tone and leaves skin glowing.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785774111/freedomcosmeticshop/products/rsdralpsie1kch0cpxr0.jpg"
"lab-white-atom-whitening-egg-yolk-soap","Lab White Atom Whitening Egg Yolk Soap","","soap","","0","0","FCS-56F90F","Lab White Atom Whitening Egg Yolk Soap — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785428951/freedomcosmeticshop/products/fszfhs4viix5fkh0m8jd.jpg"
"mayora-eau-de-parfum-2-piece-luxury-gift-set","MAYORA Eau De Parfum 2-Piece Luxury Gift Set","","fragrance","","0","0","FCS-29363F","MAYORA Eau De Parfum 2-Piece Luxury Gift Set — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785505042/freedomcosmeticshop/products/xno2k8fygel4mj9evtqd.jpg"
"mega-growth-break-free-hair-scalp-food","Mega Growth Break-Free Hair & Scalp Food","","haircare","","0","0","FCS-080E75","Mega Growth Break-Free Hair & Scalp Food — haircare that helps keep hair looking neat and healthy.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785938439/freedomcosmeticshop/products/gdrz2hkir6xvqatbogvt.jpg"
"miadi-hair-curl-activator-gel","MIADI Hair Curl Activator Gel","","haircare","","0","0","FCS-A6311A","MIADI Hair Curl Activator Gel — haircare that helps keep hair looking neat and healthy.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785921107/freedomcosmeticshop/products/flu0mlrt5uzqlskif2xv.jpg"
